symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
CUMMINSIND,EQ,2008-01-01,420,420,405,409,409,416.3,108230,44662272.1,,
CUMMINSIND,EQ,2008-01-02,410,413,400,408.3,410,409,69002,28188582.5,,
CUMMINSIND,EQ,2008-01-03,408,411,403,405.3,403,408.3,89201,36385746.65,,
CUMMINSIND,EQ,2008-01-04,409,411,402,405.7,403.95,405.3,70950,28886839.85,,
CUMMINSIND,EQ,2008-01-07,405,407.95,399.05,400.1,401.6,405.7,72637,29231791.5,,
CUMMINSIND,EQ,2008-01-08,401,407,394,395.65,394,400.1,58110,23227809.5,,
CUMMINSIND,EQ,2008-01-09,394,401.95,388.25,393.15,392.9,395.65,87556,34621119.8,,
CUMMINSIND,EQ,2008-01-10,403,403,375,381.65,375,393.15,206194,81101217.3,,
CUMMINSIND,EQ,2008-01-11,380,387,373,382.3,385,381.65,52494,19898345.8,,
CUMMINSIND,EQ,2008-01-14,388.85,388.85,376.05,384.5,384,382.3,243140,93318879.85,,
CUMMINSIND,EQ,2008-01-15,389.7,389.7,370.05,374.6,374.5,384.5,107641,40647320.8,,
CUMMINSIND,EQ,2008-01-16,370.05,372.75,356.5,367.95,371,374.6,92939,33981188.4,,
CUMMINSIND,EQ,2008-01-17,380.7,380.7,360,364.95,365,367.95,252388,92157203.45,,
CUMMINSIND,EQ,2008-01-18,370,370,331.1,341.1,350,364.95,221416,78671171.5,,
CUMMINSIND,EQ,2008-01-21,330,337.65,301,329.25,330,341.1,267832,87531813.4,,
CUMMINSIND,EQ,2008-01-22,305.15,338.1,265,316.7,315.2,329.25,763621,242343030.6,,
CUMMINSIND,EQ,2008-01-23,340,345,315,327.55,325,316.7,1246810,415542437.1,,
CUMMINSIND,EQ,2008-01-24,340,340,302.3,313.9,314,327.55,87355,27610181.45,,
CUMMINSIND,EQ,2008-01-25,327.5,332.95,303.15,328.55,331.95,313.9,87017,28165194,,
CUMMINSIND,EQ,2008-01-28,312,325,310,317.35,315,328.55,87182,27588125.8,,
CUMMINSIND,EQ,2008-01-29,300,344,255,333.3,344,317.35,157302,51623199.4,,
CUMMINSIND,EQ,2008-01-30,336,345,315.6,335.4,344,333.3,109988,36683737.3,,
CUMMINSIND,EQ,2008-01-31,337,359.5,312,333.95,317.85,335.4,1717505,581181670,,
CUMMINSIND,EQ,2008-02-01,336,347.9,311.1,341.9,340,333.95,123799,41338729.5,,
CUMMINSIND,EQ,2008-02-04,346,350,340.05,348.6,348,341.9,31247,10871613,,
CUMMINSIND,EQ,2008-02-05,349,360,339,357.35,356,348.6,390039,139443813.05,,
CUMMINSIND,EQ,2008-02-06,347,354,341,345.2,346,357.35,27800,9644410.7,,
CUMMINSIND,EQ,2008-02-07,345.95,352.4,329,331.6,333.2,345.2,41879,14072911.05,,
CUMMINSIND,EQ,2008-02-08,330,348,324,340.95,336.3,331.6,27994,9312959.7,,
CUMMINSIND,EQ,2008-02-11,336,337,315,317.3,322,340.95,25929,8272602.4,,
CUMMINSIND,EQ,2008-02-12,321,337,300.1,314.9,314.8,317.3,80071,25283581.1,,
CUMMINSIND,EQ,2008-02-13,316.2,332,310.35,323.95,322.55,314.9,83279,27088605.65,,
CUMMINSIND,EQ,2008-02-14,335,343,325,332,331.1,323.95,73853,24422958.8,,
CUMMINSIND,EQ,2008-02-15,322,335.5,317.2,333,333.1,332,186837,62077142.5,,
CUMMINSIND,EQ,2008-02-18,334,337,326,328.55,328.15,333,10786,3557211.4,,
CUMMINSIND,EQ,2008-02-19,325,335,325,329,329,328.55,89922,29592903.05,,
