symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
HINDALCO,EQ,2008-01-01,216,218.1,213.4,215.5,216.5,214.85,1276616,274661950.75,,
HINDALCO,EQ,2008-01-02,217.7,219.7,210.3,217.35,219.5,215.5,2733042,586262327.85,,
HINDALCO,EQ,2008-01-03,218,221.4,211.55,212.95,212.05,217.35,2531552,545778336.1,,
HINDALCO,EQ,2008-01-04,215,220.9,213.55,219.9,218.8,212.95,4317557,937074791.35,,
HINDALCO,EQ,2008-01-07,217,219,212,218,216.7,219.9,3964869,860866600.8,,
HINDALCO,EQ,2008-01-08,217,218.4,206,208.9,208.95,218,2149977,453806903.35,,
HINDALCO,EQ,2008-01-09,210,214.65,205,211.95,210.5,208.9,1790538,379876414.45,,
HINDALCO,EQ,2008-01-10,212,212.85,199.75,201.3,202,211.95,1832614,379419974.75,,
HINDALCO,EQ,2008-01-11,203,204.8,197.2,202.1,203.5,201.3,1339190,268991618.35,,
HINDALCO,EQ,2008-01-14,204.9,206.95,200.2,201.55,201.7,202.1,1418556,288260287.8,,
HINDALCO,EQ,2008-01-15,202.5,204,194.15,197.65,195.2,201.55,2008506,401219804.9,,
HINDALCO,EQ,2008-01-16,195,195,186.25,191.15,190.1,197.65,2540023,481144725.8,,
HINDALCO,EQ,2008-01-17,190,193,185.25,191.1,192.45,191.15,2209163,420974695.6,,
HINDALCO,EQ,2008-01-18,192,193.65,183.2,185.1,184,191.1,3049006,575399218.5,,
HINDALCO,EQ,2008-01-21,185,185,150.05,166.65,166.85,185.1,3305077,564646361.35,,
HINDALCO,EQ,2008-01-22,155,175,140,149.2,147.5,166.65,3638159,556198929.85,,
HINDALCO,EQ,2008-01-23,140,167,140,160.2,161,149.2,2508254,400881313.15,,
HINDALCO,EQ,2008-01-24,161.9,169.35,147.55,150.1,149.45,160.2,3141587,489928373.9,,
HINDALCO,EQ,2008-01-25,154,179.9,152.5,173.7,175.8,150.1,3140489,509558090.5,,
HINDALCO,EQ,2008-01-28,171,175.85,161,173.7,172.65,173.7,2095446,357319730.5,,
HINDALCO,EQ,2008-01-29,173.2,182.4,169.5,179.5,176.3,173.7,3154163,555819214.7,,
HINDALCO,EQ,2008-01-30,177.9,179.9,173,176.25,176.1,179.5,3450152,611019215.9,,
HINDALCO,EQ,2008-01-31,176,176,155,163.95,165,176.25,5822096,967059128.8,,
HINDALCO,EQ,2008-02-01,169.9,178.5,161,177.6,177,163.95,3691952,632433164.95,,
HINDALCO,EQ,2008-02-04,183.3,189.9,175.4,178.85,179,177.6,2539185,456894809.35,,
HINDALCO,EQ,2008-02-05,178.1,183.5,172.25,182.3,183.05,178.85,2387189,430216702.25,,
HINDALCO,EQ,2008-02-06,172.05,176.8,171,172.35,171.8,182.3,1572607,272651603.9,,
HINDALCO,EQ,2008-02-07,173,174.9,161,162.25,161.9,172.35,2556984,428681071.2,,
HINDALCO,EQ,2008-02-08,164.9,168,158,160.1,158.75,162.25,2560342,412141818,,
HINDALCO,EQ,2008-02-11,159.9,161,150,152.3,152.7,160.1,3417583,528375047.9,,
HINDALCO,EQ,2008-02-12,154.9,157.25,149.75,151.15,152.05,152.3,2765783,423340733.7,,
HINDALCO,EQ,2008-02-13,153,156.4,146.9,149.55,150.6,151.15,954472,144501929.25,,
HINDALCO,EQ,2008-02-14,154,165.4,154,163.65,164.2,149.55,2888571,466564397.35,,
HINDALCO,EQ,2008-02-15,163,180.9,160,178.3,177.8,163.65,4557205,782558031.25,,
HINDALCO,EQ,2008-02-18,179.25,185,175.75,184.15,184.45,178.3,3621233,653005658.65,,
HINDALCO,EQ,2008-02-19,185.05,188.3,175.6,179.3,181,184.15,3919899,716446770.3,,
HINDALCO,EQ,2008-02-20,179.85,182.9,174.3,177.1,177.55,179.3,2252844,402778360.85,,
HINDALCO,EQ,2008-02-21,179,190.9,179,188.75,190.4,177.1,3607856,668480179.75,,
HINDALCO,EQ,2008-02-22,189,194.75,184,192.05,192.1,188.75,4895064,940135624.85,,
HINDALCO,EQ,2008-02-25,193.15,197.8,185.05,196.6,195.9,192.05,3628926,699197793.95,,
HINDALCO,EQ,2008-02-26,198.9,200.85,195.55,198.25,198,196.6,2916300,577489308.15,,
HINDALCO,EQ,2008-02-27,199.5,204.9,194.3,195.95,195,198.25,4780809,958621458.35,,
HINDALCO,EQ,2008-02-28,196,205,193.5,204.3,204.4,195.95,7012746,1421925516.8,,
HINDALCO,EQ,2008-02-29,202.3,204,194,202.6,202,204.3,6642699,1330886538.15,,
HINDALCO,EQ,2008-03-03,196.3,202.6,187.1,190.15,188.4,202.6,5754257,1136948596.3,,
HINDALCO,EQ,2008-03-04,190,202.5,187.25,200.3,198.55,190.15,5318172,1043775451.8,,
