symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
LT,EQ,2008-01-01,4183,4190,4125.2,4146.25,4155,4167.4,206138,856675939.15,,
LT,EQ,2008-01-02,4146.25,4174.4,4080.5,4138.35,4120,4146.25,389621,1605860510.2,,
LT,EQ,2008-01-03,4138.35,4138.35,4040,4054.85,4060,4138.35,680108,2776617097.9,,
LT,EQ,2008-01-04,4078,4280,4066,4248.85,4225,4054.85,1007821,4196126268.6,,
LT,EQ,2008-01-07,4211,4315.8,4190,4282.95,4277,4248.85,883455,3776754044.05,,
LT,EQ,2008-01-08,4310,4375,4265,4337.5,4334.95,4282.95,1088518,4711916035.35,,
LT,EQ,2008-01-09,4330,4410,4291,4342.75,4331.15,4337.5,572688,2494466416,,
LT,EQ,2008-01-10,4351.25,4389.8,4185,4211.25,4215,4342.75,569346,2451081314.15,,
LT,EQ,2008-01-11,4230,4260,4145.25,4176.9,4185,4211.25,583226,2438056293.7,,
LT,EQ,2008-01-14,4190,4224.75,4154.1,4169.2,4174.5,4176.9,485863,2029877202.4,,
LT,EQ,2008-01-15,4200,4275,4049.7,4061.85,4066,4169.2,689947,2837811628.35,,
LT,EQ,2008-01-16,4074.8,4074.8,3925,3977.35,3980,4061.85,688032,2737171805.95,,
LT,EQ,2008-01-17,4020,4143,3985,4082.1,4085,3977.35,648019,2644631126.45,,
LT,EQ,2008-01-18,4041.1,4065,3905,3939.15,3925,4082.1,767021,3057029573.1,,
LT,EQ,2008-01-21,3930,3939.15,3470,3696.55,3740,3939.15,1643305,6097374046.2,,
LT,EQ,2008-01-22,3600,3749.8,2957.25,3664.8,3590,3696.55,1545640,5337263058.35,,
LT,EQ,2008-01-23,3750,3885,3651,3751.3,3805,3664.8,1501680,5645116424.7,,
LT,EQ,2008-01-24,3815.5,3845,3491,3529.25,3541.15,3751.3,1215046,4464978133.05,,
LT,EQ,2008-01-25,3560.15,3905,3560.15,3892.65,3874,3529.25,650548,2452546336.2,,
LT,EQ,2008-01-28,3840,3861,3636,3842.4,3820,3892.65,678362,2542821615.45,,
LT,EQ,2008-01-29,3850,3950,3735.65,3774.2,3762,3842.4,591964,2264409651.1,,
LT,EQ,2008-01-30,3780,3830,3690.1,3707.45,3691.05,3774.2,585042,2180909349.5,,
LT,EQ,2008-01-31,3740,3754,3600.05,3646.85,3650,3707.45,1240569,4555485211.15,,
LT,EQ,2008-02-01,3670,3738.3,3595,3721.9,3720,3646.85,724998,2658494249.05,,
LT,EQ,2008-02-04,3773,3825,3740,3812,3797,3721.9,480079,1824122345.7,,
LT,EQ,2008-02-05,3785,3876,3760,3856.3,3867,3812,439386,1689279388.15,,
LT,EQ,2008-02-06,3800,3805,3700,3783.05,3777,3856.3,375153,1416781167.45,,
LT,EQ,2008-02-07,3799.8,3799.8,3605,3634.25,3619,3783.05,531071,1955432002.9,,
LT,EQ,2008-02-08,3650,3670,3466,3528.25,3508,3634.25,846003,2983761291.15,,
LT,EQ,2008-02-11,3598.8,3598.8,3280,3317.45,3338,3528.25,1294784,4340941682.9,,
LT,EQ,2008-02-12,3355,3369,3201,3267.3,3258.5,3317.45,1064676,3517167736.9,,
LT,EQ,2008-02-13,3300,3369,3201,3277.45,3265,3267.3,603267,1991820208.45,,
LT,EQ,2008-02-14,3364,3560,3333,3501.35,3542,3277.45,1247963,4312238162.05,,
LT,EQ,2008-02-15,3420,3554,3400,3538.15,3521,3501.35,694765,2424883154.5,,
LT,EQ,2008-02-18,3550,3598.4,3410,3508.8,3497,3538.15,312760,1104668884.2,,
LT,EQ,2008-02-19,3575,3575,3520,3554.15,3561,3508.8,424295,1505952977.1,,
LT,EQ,2008-02-20,3525,3540,3430.7,3462.6,3461,3554.15,440663,1525993717.25,,
LT,EQ,2008-02-21,3520,3550,3400,3451.7,3435.35,3462.6,443511,1530840222.8,,
LT,EQ,2008-02-22,3387,3489,3387,3428.55,3435,3451.7,397970,1368489013.25,,
LT,EQ,2008-02-25,3446.6,3513.85,3400,3484.1,3453,3428.55,447393,1552551421.3,,
LT,EQ,2008-02-26,3495,3535.1,3476,3525.85,3528,3484.1,412741,1449547105.85,,
LT,EQ,2008-02-27,3550,3686.95,3550,3641.5,3630,3525.85,786369,2873114618.9,,
LT,EQ,2008-02-28,3645,3650,3580,3641.55,3646,3641.5,650121,2357036299.9,,
LT,EQ,2008-02-29,3660,3698,3480,3521.25,3507.9,3641.55,762321,2708417460.3,,
LT,EQ,2008-03-03,3448,3459.8,3280.05,3342.65,3307,3521.25,542742,1836011496.55,,
LT,EQ,2008-03-04,3350,3350,3200,3221.65,3217,3342.65,904021,2935438562.4,,
LT,EQ,2008-03-05,3235,3272,3176,3201.1,3209,3221.65,657047,2109840390.15,,
LT,EQ,2008-03-07,3184,3184,2930,2985.9,2965,3201.1,1842941,5648515871.1,,
LT,EQ,2008-03-10,2910.5,2950,2610,2728.2,2731.75,2985.9,3458390,9312252705.45,,
LT,EQ,2008-03-11,2715,2950,2650,2916.95,2919,2728.2,1448478,4188706302.75,,
LT,EQ,2008-03-12,3000,3177,2921.1,2942.6,2924,2916.95,1105830,3335756987.45,,
LT,EQ,2008-03-13,2945,2945,2751.1,2808.55,2816,2942.6,1014907,2852976072.95,,
LT,EQ,2008-03-14,2850,2937,2776,2907.35,2918,2808.55,849036,2440295940.3,,
LT,EQ,2008-03-17,2900,2900,2610,2707.95,2688,2907.35,966468,2668840608.7,,
LT,EQ,2008-03-18,2720,2807,2685.4,2765.3,2769.55,2707.95,1059437,2920818656,,
LT,EQ,2008-03-19,2869,2915,2821,2841,2848.5,2765.3,1103047,3151963340.95,,
LT,EQ,2008-03-24,2880,2976.2,2850,2937.05,2973.75,2841,1088513,3145847321.7,,
LT,EQ,2008-03-25,2981.1,3075,2970.55,3056.85,3072,2937.05,822354,2502136372.3,,
LT,EQ,2008-03-26,3080,3097.9,3030,3055.75,3043,3056.85,594615,1821267884.85,,
LT,EQ,2008-03-27,3049.95,3049.95,2940,2959.95,2944,3055.75,943563,2813786439.45,,
LT,EQ,2008-03-28,2990,3180.4,2950.4,3150.75,3138,2959.95,813887,2497855168.5,,
LT,EQ,2008-03-31,3135,3135,2987.05,3035.95,3004,3150.75,844586,2562747922.4,,
