symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
MARUTI,EQ,2008-01-01,1000,1000,986,991.55,991,994.5,183163,181749894.9,,
MARUTI,EQ,2008-01-02,1005,1009.95,978.6,997.05,993.1,991.55,351365,348359256.25,,
MARUTI,EQ,2008-01-03,999,999,969.95,973.2,972.65,997.05,455664,447432048.65,,
MARUTI,EQ,2008-01-04,975,982.5,959,964.15,964,973.2,798963,771858872.55,,
MARUTI,EQ,2008-01-07,952,970,952,963.75,964,964.15,683162,658384538.25,,
MARUTI,EQ,2008-01-08,965,970,936,939.8,938,963.75,644368,613024946.15,,
MARUTI,EQ,2008-01-09,944.9,1055,912.5,924.75,918.9,939.8,601337,564231987.4,,
MARUTI,EQ,2008-01-10,931,941.75,905.05,909.2,909.9,924.75,510754,470874327.05,,
MARUTI,EQ,2008-01-11,927,927,888,899.7,892,909.2,857643,772055198.5,,
MARUTI,EQ,2008-01-14,899.7,909,840,863.45,852,899.7,698561,612941861.15,,
MARUTI,EQ,2008-01-15,873.95,881.35,852,871.35,870,863.45,1000759,871668606.6,,
MARUTI,EQ,2008-01-16,868,868,827,847.7,840,871.35,558884,469489741.9,,
MARUTI,EQ,2008-01-17,855,894.9,842.15,864.8,860.25,847.7,602636,523106218.4,,
MARUTI,EQ,2008-01-18,860,865.55,835.1,842,835.1,864.8,444882,377940333.35,,
MARUTI,EQ,2008-01-21,824,834.5,755.05,803.2,790,842,614102,493592727.5,,
MARUTI,EQ,2008-01-22,780,840,700,807.05,794,803.2,949563,722427412.55,,
MARUTI,EQ,2008-01-23,835,859,785,826.15,820,807.05,777635,640982500.45,,
MARUTI,EQ,2008-01-24,850,850,761,788.75,790,826.15,1045605,851415861.25,,
MARUTI,EQ,2008-01-25,823,845,794,833.7,835,788.75,563334,465461715.85,,
MARUTI,EQ,2008-01-28,775.05,874,775.05,864.7,861,833.7,358055,295522033.7,,
MARUTI,EQ,2008-01-29,870,881,816.3,863,866.6,864.7,739339,629598109.5,,
MARUTI,EQ,2008-01-30,870,870,833,844.9,845,863,462356,389165887.05,,
MARUTI,EQ,2008-01-31,843,864.8,825,850.2,838.25,844.9,702863,595150836.5,,
MARUTI,EQ,2008-02-01,833.15,918,826,905.75,902,850.2,425624,373817328.85,,
MARUTI,EQ,2008-02-04,920,923.9,891.2,897.35,895.5,905.75,773011,703096941.1,,
MARUTI,EQ,2008-02-05,912,920,869,872.6,872,897.35,296903,262724459.5,,
MARUTI,EQ,2008-02-06,855.1,860,827,832.25,832.9,872.6,400676,335394270.95,,
MARUTI,EQ,2008-02-07,845,845,790,800,793,832.25,549229,448495140.55,,
MARUTI,EQ,2008-02-08,802,814,780.1,805.75,799,800,588532,470939561.75,,
MARUTI,EQ,2008-02-11,805.75,850,775,813.35,811,805.75,467655,378754617.55,,
MARUTI,EQ,2008-02-12,815.4,827,796.25,807.7,804.9,813.35,313845,254320606.6,,
MARUTI,EQ,2008-02-13,812,824.95,802.15,817.25,816.2,807.7,394845,322312095,,
MARUTI,EQ,2008-02-14,821.1,845,820,829.2,830.3,817.25,245041,204071752.75,,
MARUTI,EQ,2008-02-15,825,829,805,812.45,812.65,829.2,658133,535397978.05,,
MARUTI,EQ,2008-02-18,830,830,801,806.2,805.7,812.45,212449,171650222.3,,
MARUTI,EQ,2008-02-19,813,819,805.15,809.4,809,806.2,394126,320760434.75,,
MARUTI,EQ,2008-02-20,808,808,763,769.7,771.5,809.4,750169,584876582,,
MARUTI,EQ,2008-02-21,777,790,754.45,763.15,765,769.7,631746,485906665.3,,
MARUTI,EQ,2008-02-22,765,774.8,750.1,766.35,765,763.15,599096,455568193.55,,
MARUTI,EQ,2008-02-25,775,805.5,768.25,800.55,795.95,766.35,623552,493854027.65,,
MARUTI,EQ,2008-02-26,811.3,816,791,813.3,813,800.55,349139,281051339.25,,
MARUTI,EQ,2008-02-27,815,840,815,832.9,835,813.3,678206,559040907.05,,
MARUTI,EQ,2008-02-28,830,843,816.7,837.15,840,832.9,517893,432195390.75,,
MARUTI,EQ,2008-02-29,830,875,825,868.2,868,837.15,1698908,1451218213.45,,
MARUTI,EQ,2008-03-03,859.7,909,847.5,872.65,873,868.2,1827854,1633120901.15,,
MARUTI,EQ,2008-03-04,875,915,875,904.55,915,872.65,1388510,1246292566.6,,
MARUTI,EQ,2008-03-05,907,944.5,902,940.2,940,904.55,1504357,1389890889.15,,
