symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
SBIN,EQ,2008-01-01,2380,2395,2356.2,2383.5,2386,2371.15,424788,1009729145.95,,
SBIN,EQ,2008-01-02,2372,2454,2342,2423.35,2426.4,2383.5,1015613,2448548046.15,,
SBIN,EQ,2008-01-03,2420,2437.3,2383.65,2395.25,2392,2423.35,565525,1362078781,,
SBIN,EQ,2008-01-04,2574,2574,2377,2388.8,2380,2395.25,489276,1174947158.65,,
SBIN,EQ,2008-01-07,2398.7,2428,2361,2402.9,2398.15,2388.8,623870,1499629063.05,,
SBIN,EQ,2008-01-08,2419.7,2502,2415.3,2464.55,2464.9,2402.9,1460965,3597634825.35,,
SBIN,EQ,2008-01-09,2450,2507,2441.15,2454.5,2453.2,2464.55,995044,2470467858,,
SBIN,EQ,2008-01-10,2482.2,2505,2378,2409.6,2410,2454.5,885305,2188000606.35,,
SBIN,EQ,2008-01-11,2444.7,2455,2379,2434.8,2453.1,2409.6,644596,1560156368.8,,
SBIN,EQ,2008-01-14,2478.7,2536.35,2441,2463.1,2452.15,2434.8,1363641,3388625877.5,,
SBIN,EQ,2008-01-15,2497.7,2497.7,2407.1,2423.45,2408.15,2463.1,951583,2328318593.05,,
SBIN,EQ,2008-01-16,2425,2433,2346,2415.55,2430.2,2423.45,1671434,3992246528.45,,
SBIN,EQ,2008-01-17,2443,2458,2375,2416.35,2412.15,2415.55,984969,2381987792.1,,
SBIN,EQ,2008-01-18,2390,2427,2325.25,2362.35,2370,2416.35,921142,2204603330.05,,
SBIN,EQ,2008-01-21,2357,2379.7,2031.35,2196.15,2200,2362.35,1912417,4369188487.45,,
SBIN,EQ,2008-01-22,1910,2280,1830,2137.4,2127,2196.15,1541637,3251386371.85,,
SBIN,EQ,2008-01-23,2269.4,2362,2175,2323.75,2350,2137.4,1164321,2667022394.75,,
SBIN,EQ,2008-01-24,2360.5,2399.7,2300,2343.15,2342,2323.75,1388980,3247281401.1,,
SBIN,EQ,2008-01-25,2440,2458.8,2360,2407.4,2405,2343.15,1324427,3198453525,,
SBIN,EQ,2008-01-28,2299,2339,2200,2313.35,2309,2407.4,911416,2060862463.4,,
SBIN,EQ,2008-01-29,2310,2359,2220.1,2230.7,2234,2313.35,951317,2163939886.4,,
SBIN,EQ,2008-01-30,2274.7,2279,2201.05,2223.95,2220,2230.7,1036714,2312743340.15,,
SBIN,EQ,2008-01-31,2155,2247.7,2136,2167.35,2165,2223.95,1159043,2534744081.05,,
SBIN,EQ,2008-02-01,2244.7,2244.7,2117,2184.6,2195,2167.35,870757,1879827538.6,,
SBIN,EQ,2008-02-04,2214,2307.4,2210,2273.7,2275.25,2184.6,771439,1752475936.65,,
SBIN,EQ,2008-02-05,2264,2274,2210,2228.5,2230.85,2273.7,661465,1481160570.4,,
SBIN,EQ,2008-02-06,2199,2205,2137.55,2182.45,2186,2228.5,979159,2129894609.25,,
